User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
"Jason ""David Wong"" Pargin",@JohnDiesattheEn,2020-12-29T16:29:41.000Z,I don't know if Trump's goal was to destroy the entire concept of political satire or if that is just going to be a side effect,1,1,26
Jake Tapper,@jaketapper,2020-12-29T16:22:53.000Z,"Gallup: Donald Trump, Michelle Obama Most Admired in 2020

18% of Americans name Trump, 15% name Obama, 6% Biden and 3% Fauci.Donald Trump, Michelle Obama Most Admired in 2020
Donald Trump edges out Barack Obama as most admired man, while Michelle Obama places ahead of Kamala Harris as most admired woman.
news.gallup.com",184,30,95
&REW,@DrewBobC,2020-12-29T16:24:41.000Z,After seeing Trump got 18%,1,6,105
Newsmax,@newsmax,2020-12-29T16:30:07.000Z,".
@KLoeffler
 backs 
@realDonaldTrump
's call for $2000 stimulus checksLoeffler Indicates She'll Back Trump's Call for $2K Payments
Sen. Kelly Loeffler, one of the two Republicans in Georgia's runoff race that could determine upcoming control of the Senate, indicated Tuesday that she'll back President Donald Trump's call for...
newsmax.com",9,36,172
Ana Navarro-Cárdenas,@ananavarro,2020-12-29T16:21:33.000Z,"Wrong.
It’s actually been 4 years.

And I haven’t been screaming at the world, just at corrupt Trump and his complicit enablers.

Yes. My parents are so proud that I didn’t lose my outrage and didn’t justify the unjustifiable, defend the indefensible or accept the unacceptable.Quote Tweet
BK
@BKGray1040
 · 1h
Replying to @ananavarro
You’ve spent the last 2 years screaming at the world on Twitter. I’m sure they are so proud.",81,105,1.3K
Nicole Malliotakis,@NMalliotakis,2020-12-29T16:22:25.000Z,"With 
@MTA
 receiving another $4B in the relief package signed by President Trump, the proposal to reduce or eliminate the #StatenIsland resident discount on the Verrazzano Bridge should be dropped: 1) It’s the only borough that needs to pay a toll to connect to rest of city..(1/2)",3,16,37
"Bill Maxwell
#BuildBackBetter",@Bill_Maxwell_,2020-12-29T15:59:41.000Z,In 22 days the law applies to the Trump family again.,19,72,377
Karl Vanderpool,@BigKarl8,2020-12-29T16:28:27.000Z,Let's hope that Law has a very long arm because I have a feeling the Trumps are making a run for it!!,,,2
Extreme Radical Climate Warrior,@fwtoney,2020-12-29T16:27:49.000Z,On January 6th the Trump admin. is rushing to hold the first-ever lease auction in Alaska's Arctic National Wildlife Refuge. They will hand over huge areas of the pristine wildlife sanctuary to oil giants. Destroying this refuge has long been a Republican dream.,,2,5
David Perdue,@Perduesenate,2020-12-29T15:36:31.000Z,"President 
@realdonaldtrump
 is right — I support this push for $2,000 in direct relief for the American people.Quote Tweet
Donald J. Trump
@realDonaldTrump
 · 2h
$2000 for our great people, not $600! They have suffered enough from the China Virus!!!",1.4K,784,1.6K
Rex Chapman,@RexChapman,2020-12-29T16:30:09.000Z,What a joke.,6,2,138
Tom Nichols,@RadioFreeTom,2020-12-29T16:24:29.000Z,"This is a good read. But in the end, it's still about the politics of resentment and how Trump and a media complex affirmed that what were once *the feelings* of working class whites are now a reality.Quote Tweet
Derek Thompson
@DKThomp
 · 13m
Four years ago, the sociologist Arlie Russell Hochschild brilliantly explained the origins of Trumpism. So I asked her to explain its current state and future. The result was one of the most interesting political conversations I had all year.

https://theatlantic.com/ideas/archive/2020/12/deep-story-trumpism/617498/…",3,14,89
Olivia Nuzzi,@Olivianuzzi,2020-12-29T16:30:55.000Z,It’s always interesting to see which vocally anti-Trump celebrities act just like him when the press reports on them in a way they don’t like.,5,5,57
The Hill,@thehill,2020-12-29T16:31:00.000Z,"Pres.-elect Joe Biden announces changes to ""humanitarian disaster that the Trump Admin. has systematically created at our Southern border"": ""We'll institute humane & orderly responses -- that means rebuilding the capacity we need to safely & quickly process asylum seekers.""",4,4,13
